time,seconds_elapsed,z,y,x
1696082073226179600,0.3031796875,-0.2382374405860901,-0.4386012554168701,0.23335053026676178
1696082073236179700,0.3131796875,-0.2926044464111328,-0.3445279896259308,0.21868975460529327
1696082073246179600,0.3231796875,-0.33475416898727417,-0.31093040108680725,0.1966986060142517
1696082073256179700,0.3331796875,-0.3488040566444397,-0.32986724376678467,0.17531833052635193
1696082073266179600,0.3431796875,-0.3029891550540924,-0.5564982295036316,0.1973094791173935
1696082073276179700,0.3531796875,-0.3090978264808655,-0.9963212013244629,0.26145032048225403
1696082073286179600,0.3631796875,-0.43249258399009705,-1.3426817655563354,0.3481931984424591
1696082073296179700,0.3731796875,-0.5167919993400574,-1.4587461948394775,0.45631635189056396
1696082073306179600,0.3831796875,-0.5748242139816284,-1.480737328529358,0.5540547966957092
1696082073316179700,0.3931796875,-0.6676757335662842,-1.4868459701538086,0.618195652961731
1696082073326179600,0.4031796875,-0.7709119319915771,-1.5442672967910767,0.616973876953125
1696082073336179700,0.4131796875,-0.8509352803230286,-1.6389514207839966,0.5357288122177124
1696082073346179600,0.4231796875,-0.9034696817398071,-1.7366899251937866,0.3988949954509735
1696082073356179700,0.4331796875,-0.941343367099762,-1.7776178121566772,0.2070833146572113
1696082073366179600,0.4431796875,-0.9162978529930115,-1.671938180923462,-0.036041051149368286
1696082073376179700,0.4531796875,-0.8692612648010254,-1.6285667419433594,-0.2382374405860901
1696082073386179600,0.4631796875,-0.8026769161224365,-1.5913039445877075,-0.40622538328170776
1696082073396179700,0.4731796875,-0.7122688889503479,-1.642616629600525,-0.5143485069274902
1696082073406179600,0.4831796875,-0.5455026626586914,-1.778228759765625,-0.5357288122177124
1696082073416179700,0.4931796875,-0.45204028487205505,-2.104430675506592,-0.5283984541893005
1696082073426179600,0.5031796875,-0.3988949954509735,-2.5619688034057617,-0.49235737323760986
1696082073436179700,0.5131796875,-0.3927863538265228,-2.987131118774414,-0.4447098970413208
1696082073446179600,0.5231796875,-0.4294382631778717,-3.378084897994995,-0.4080579876899719
1696082073456179700,0.5331796875,-0.4801400899887085,-3.679852247238159,-0.4141666293144226
1696082073466179600,0.5431796875,-0.5241223573684692,-3.8765509128570557,-0.48258355259895325
1696082073476179700,0.5531796875,-0.5662720799446106,-3.9822304248809814,-0.5711590051651001
1696082073486179600,0.5631796875,-0.6163630485534668,-3.984063148498535,-0.6377432942390442
1696082073496179700,0.5731796875,-0.6640105247497559,-3.902817964553833,-0.6811147332191467
1696082073506179600,0.5831796875,-0.6774495840072632,-3.740327835083008,-0.7214318513870239
1696082073516179700,0.5931796875,-0.627358615398407,-3.5802812576293945,-0.7745771408081055
1696082073526179600,0.6031796875,-0.5314527750015259,-3.520416498184204,-0.8912523984909058
1696082073536179700,0.6131796875,-0.2871066629886627,-3.7672059535980225,-0.9761626720428467
1696082073546179600,0.6231796875,0.01038470957428217,-4.14349889755249,-0.9828822016716003
1696082073556179700,0.6331796875,0.2981022298336029,-3.838677167892456,-0.8124507665634155
1696082073566179600,0.6431796875,0.6255260109901428,-2.637716054916382,-0.50335294008255
1696082073576179700,0.6531796875,0.8515461683273315,-1.7660114765167236,-0.07452555745840073
1696082073586179600,0.6631796875,1.034194827079773,-1.0543533563613892,-0.03237585723400116
1696082073596179700,0.6731796875,1.2107349634170532,-0.588263213634491,-0.24923302233219147
1696082073606179600,0.6831796875,1.3359622955322266,-0.29504790902137756,-0.6108652353286743
1696082073616179700,0.6931796875,1.36955988407135,-0.07330382615327835,-1.0458012819290161
1696082073626179600,0.7031796875,1.3213015794754028,0.10873401165008545,-1.503339409828186
1696082073636179700,0.7131796875,1.2290608882904053,0.27122417092323303,-1.95965576171875
1696082073646179600,0.7231796875,1.130711555480957,0.3988949954509735,-2.3909265995025635
1696082073656179700,0.7331796875,1.072068452835083,0.4508185386657715,-2.7965409755706787
1696082073666179600,0.7431796875,1.086118459701538,0.30970868468284607,-3.171001434326172
1696082073676179700,0.7531796875,1.1887437105178833,-0.019547687843441963,-3.4355061054229736
