time,seconds_elapsed,z,y,x
1695712601630669800,0.192669921875,7.7643280029296875,5.3649797439575195,-2.6773712635040283
1695712601640222000,0.202221923828125,7.826427936553955,5.279756546020508,-2.6659538745880127
1695712601649773800,0.21177392578125,7.890654563903809,5.198673248291016,-2.635807752609253
1695712601659295500,0.22129541015625,7.963245391845703,5.122715950012207,-2.56527042388916
1695712601668847400,0.230847412109375,8.039857864379883,5.047429084777832,-2.473917007446289
1695712601678399500,0.2403994140625,8.108765602111816,4.973822593688965,-2.396900177001953
1695712601687951400,0.249951416015625,8.1683931350708,4.904534339904785,-2.336454153060913
1695712601697503500,0.25950341796875,8.223922729492188,4.837306499481201,-2.281156063079834
1695712601707025000,0.26902490234375,8.277982711791992,4.776485919952393,-2.2127580642700195
1695712601716576800,0.27857666015625,8.320115089416504,4.745364189147949,-2.1197450160980225
1695712601726129000,0.28812890625,8.341015815734863,4.763820171356201,-1.9923830032348633
1695712601735680800,0.2976806640625,8.339550971984863,4.837876319885254,-1.811890959739685
1695712601745202400,0.307202392578125,8.31623363494873,4.962095737457275,-1.5665192604064941
1695712601754754300,0.31675439453125,8.271851539611816,5.120316505432129,-1.26291024684906
1695712601764306400,0.326306396484375,8.209369659423828,5.291351318359375,-0.9186766743659973
1695712601773858300,0.3358583984375,8.131031036376953,5.4582648277282715,-0.5742641091346741
1695712601783380000,0.3453798828125,8.043479919433594,5.608682155609131,-0.2850166857242584
1695712601792931800,0.354931884765625,7.966340065002441,5.7241973876953125,-0.08428966253995895
1695712601802484000,0.36448388671875,7.90945291519165,5.803144454956055,0.013662604615092278
1695712601812035800,0.374035888671875,7.870243072509766,5.856149673461914,0.02983454242348671
1695712601821588000,0.383587890625,7.845443248748779,5.889407634735107,0.0032916902564466
1695712601831109400,0.393109375,7.83273983001709,5.9059882164001465,-0.06004038080573082
1695712601840661200,0.4026611328125,7.835500717163086,5.901088714599609,-0.13488036394119263
1695712601850213400,0.41221337890625,7.854820251464844,5.873565673828125,-0.19781862199306488
1695712601859765200,0.42176513671875,7.886468887329102,5.829250335693359,-0.24407273530960083
1695712601869287000,0.431286865234375,7.920591831207275,5.7809977531433105,-0.28355342149734497
1695712601878838800,0.4408388671875,7.947550296783447,5.741491317749023,-0.3283846080303192
1695712601888391000,0.450390869140625,7.966136455535889,5.712416648864746,-0.3808896839618683
1695712601897942800,0.45994287109375,7.982088088989258,5.685629844665527,-0.44270646572113037
1695712601907464200,0.469464111328125,8.001516342163086,5.651373386383057,-0.523287832736969
1695712601917046800,0.479046875,8.030314445495605,5.600005149841309,-0.6245867609977722
1695712601926599000,0.488598876953125,8.0692138671875,5.529819488525391,-0.7382434606552124
1695712601936150800,0.49815087890625,8.11397647857666,5.4469733238220215,-0.8543784022331238
1695712601945672200,0.507672119140625,8.162353515625,5.357058525085449,-0.9560425877571106
1695712601955224300,0.517224365234375,8.212645530700684,5.267038822174072,-1.0231707096099854
1695712601964776400,0.5267763671875,8.264789581298828,5.1811909675598145,-1.0414478778839111
1695712601974328300,0.536328369140625,8.316797256469727,5.101827621459961,-1.0189952850341797
1695712601983880400,0.54588037109375,8.362136840820312,5.033212184906006,-0.9887109994888306
1695712601993401900,0.55540185546875,8.396251678466797,4.978527545928955,-0.97637939453125
1695712602002953700,0.56495361328125,8.419093132019043,4.93745756149292,-0.9881801009178162
1695712602012505900,0.574505859375,8.432693481445312,4.9086761474609375,-1.01522958278656
1695712602022057700,0.5840576171875,8.440938949584961,4.890975475311279,-1.031999945640564
1695712602031579400,0.593579345703125,8.447237014770508,4.886556148529053,-1.000937819480896
1695712602041131300,0.60313134765625,8.447760581970215,4.903841495513916,-0.9076308608055115
1695712602050683400,0.612683349609375,8.435928344726562,4.950399875640869,-0.7515072822570801
1695712602060235300,0.6222353515625,8.403909683227539,5.032022953033447,-0.537730872631073
1695712602069756700,0.631756591796875,8.34366512298584,5.1522016525268555,-0.2723460793495178
1695712602079308800,0.641308837890625,8.247415542602539,5.3117594718933105,0.03816448524594307
1695712602088860700,0.650860595703125,8.107277870178223,5.50960636138916,0.3903621733188629
1695712602098412800,0.660412841796875,7.917032241821289,5.74019193649292,0.7790446281433105
1695712602107965000,0.66996484375,7.6702561378479,5.997324466705322,1.1980743408203125
1695712602117486300,0.679486328125,7.364392280578613,6.27141809463501,1.6343650817871094
1695712602127038200,0.6890380859375,7.000394821166992,6.553513526916504,2.0693116188049316
1695712602136590300,0.69859033203125,6.640194416046143,6.805777072906494,2.413572072982788
1695712602146173000,0.7081728515625,6.384180545806885,6.978564262390137,2.6034576892852783
1695712602165215700,0.7272158203125,6.233367443084717,7.087348461151123,2.6740846633911133
1695712602174767900,0.736767822265625,6.293017387390137,7.054402828216553,2.6209607124328613
1695712602184319700,0.74631982421875,6.410872459411621,6.98199462890625,2.527564287185669
1695712602193841200,0.755841064453125,6.553059101104736,6.88336181640625,2.4316389560699463
1695712602203423700,0.765423828125,6.693641185760498,6.777940273284912,2.343248128890991
1695712602212975900,0.774975830078125,6.820232391357422,6.678354263305664,2.2627692222595215
1695712602222527700,0.78452783203125,6.92444372177124,6.588996410369873,2.207559108734131
1695712602232049200,0.794049072265625,7.005505561828613,6.510061740875244,2.1858856678009033
1695712602241601300,0.803601318359375,7.062426567077637,6.4435858726501465,2.199646234512329
1695712602251153200,0.813153076171875,7.097027778625488,6.396381378173828,2.2258973121643066
1695712602260705300,0.822705322265625,7.11561393737793,6.376853942871094,2.222586154937744
1695712602270257400,0.83225732421875,7.128364086151123,6.382357597351074,2.1651909351348877
