time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1696492779646291500,0.05929150390625,0.19473199546337128,0.004342999774962664,0.09779000282287598,0.9759590029716492,-0.030177827924489975,-0.19377999007701874,-0.396817684173584
1696492779656290600,0.06929052734375,0.19474899768829346,0.00508299982175231,0.09796199947595596,0.9759349822998047,-0.028780732303857803,-0.1944112330675125,-0.3967341482639313
1696492779666290400,0.07929052734375,0.1947679966688156,0.005795999895781279,0.09814699739217758,0.9759089946746826,-0.02744283713400364,-0.19505737721920013,-0.39666053652763367
1696492779676290600,0.08929052734375,0.19479000568389893,0.006473999936133623,0.09834799915552139,0.9758800268173218,-0.026181519031524658,-0.19572101533412933,-0.3966005742549896
1696492779686290400,0.09929052734375,0.19479000568389893,0.006556000094860792,0.09877700358629227,0.9758359789848328,-0.026193901896476746,-0.19659839570522308,-0.3966306447982788
1696492779696290600,0.10929052734375,0.1947699934244156,0.0067369998432695866,0.09923599660396576,0.9757919907569885,-0.026017606258392334,-0.19757461547851562,-0.3966037631034851
1696492779706290400,0.11929052734375,0.19473199546337128,0.006920999847352505,0.09962300211191177,0.9757590293884277,-0.025802131742239,-0.19841082394123077,-0.39653152227401733
1696492779716290600,0.12929052734375,0.19468200206756592,0.0070569999516010284,0.09985700249671936,0.9757440090179443,-0.025617003440856934,-0.1989268809556961,-0.3964270353317261
1696492779726290400,0.13929052734375,0.1946370005607605,0.0071680000983178616,0.09993600100278854,0.9757440090179443,-0.025419199839234352,-0.19912758469581604,-0.3963210880756378
1696492779736290600,0.14929052734375,0.19460199773311615,0.007249999791383743,0.09992899745702744,0.9757509827613831,-0.025245975703001022,-0.19914710521697998,-0.3962322175502777
1696492779746290400,0.15929052734375,0.19458800554275513,0.0073090000078082085,0.09989900141954422,0.9757570028305054,-0.02511344477534294,-0.19911183416843414,-0.39618903398513794
1696492779756290600,0.16929052734375,0.19458499550819397,0.007354999892413616,0.09987899661064148,0.9757590293884277,-0.025013141334056854,-0.1990906447172165,-0.39617177844047546
1696492779766290400,0.17929052734375,0.194582998752594,0.007400999777019024,0.09980800002813339,0.9757660031318665,-0.024892214685678482,-0.19896894693374634,-0.39615127444267273
1696492779776290600,0.18929052734375,0.19460399448871613,0.007412999868392944,0.09966599941253662,0.9757769703865051,-0.024814652279019356,-0.19869355857372284,-0.3961776793003082
