time,seconds_elapsed,z,y,x
1695712775812775200,0.120775146484375,-0.3364901542663574,-0.25326642394065857,1.206544280052185
1695712775822801200,0.13080126953125,-0.6049365997314453,-0.3960117697715759,0.9040093421936035
1695712775832850400,0.140850341796875,-0.6900244951248169,-0.4822981059551239,0.5792371034622192
1695712775842886400,0.150886474609375,-0.6900244951248169,-0.4812328517436981,0.2661827504634857
1695712775852901000,0.160901123046875,-0.6889592409133911,-0.27670222520828247,-0.0043942127376794815
1695712775862925300,0.17092529296875,-0.6889592409133911,0.09707214683294296,-0.26951169967651367
1695712775873140500,0.181140380859375,-0.5900229215621948,0.4175833463668823,-0.5475454926490784
1695712775882990800,0.190990966796875,-0.3620564937591553,0.37084490060806274,-0.6711161136627197
1695712775893015000,0.20101513671875,-0.08082687854766846,0.2504701018333435,-0.6189181804656982
1695712775903209200,0.211209228515625,0.18535587191581726,0.04593949392437935,-0.4463454782962799
1695712775913109800,0.22110986328125,0.36432015895843506,-0.20319904386997223,-0.24301326274871826
1695712775923078100,0.231078125,0.42184439301490784,-0.4450138807296753,-0.043808966875076294
1695712775933144300,0.241144287109375,0.34088435769081116,-0.6378266215324402,0.12663321197032928
1695712775943154200,0.251154296875,0.15446323156356812,-0.8198535442352295,0.24274694919586182
1695712775953218300,0.26121826171875,-0.06924213469028473,-0.9807083606719971,0.30120328068733215
1695712775963251000,0.2712509765625,-0.23635536432266235,-1.094691514968872,0.31505173444747925
1695712775973289200,0.281289306640625,-0.27363958954811096,-1.1181273460388184,0.3043990731239319
1695712775983324200,0.29132421875,-0.18948377668857574,-1.1010831594467163,0.26511749625205994
1695712775993371000,0.301370849609375,-0.02769685536623001,-0.6804371476173401,0.20652799308300018
1695712776003411000,0.311410888671875,0.15765902400016785,-0.3779022693634033,0.18096165359020233
1695712776013386800,0.32138671875,0.30786117911338806,-0.30546435713768005,0.17563533782958984
1695712776023399400,0.3313994140625,0.3568633198738098,-0.391750693321228,0.15646059811115265
1695712776033475000,0.34147509765625,0.2684464454650879,-0.4908202290534973,0.12450268864631653
