time,seconds_elapsed,z,y,x
1696083226639930000,0.04593017578125,0.011301007121801376,0.16913332045078278,-0.05100724846124649
1696083226653618000,0.059617919921875,0.011301007121801376,0.16913332045078278,-0.05100724846124649
1696083226663617800,0.06961767578125,0.011301007121801376,0.16913332045078278,-0.05100724846124649
1696083226673618000,0.079617919921875,0.011301007121801376,0.16913332045078278,-0.05100724846124649
1696083226683617800,0.08961767578125,-0.02474004216492176,-0.07887797802686691,-0.017409659922122955
1696083226693618000,0.099617919921875,-0.029016099870204926,-0.04161519557237625,-0.07422012835741043
1696083226703617800,0.10961767578125,-0.026572637259960175,-0.00618501054123044,-0.10231992602348328
1696083226713618000,0.119617919921875,-0.01863138936460018,0.009086620062589645,-0.10781771689653397
1696083226723617800,0.12961767578125,-0.010690141469240189,0.012140946462750435,-0.09804387390613556
1696083226733618000,0.139617919921875,-0.0027488935738801956,0.010308351367712021,-0.07788532227277756
1696083226743617800,0.14961767578125,0.0027488935738801956,0.006643159314990044,-0.04917465150356293
1696083226753618000,0.159617919921875,0.0009162978967651725,-0.00557414535433054,-0.015577063895761967
1696083226763617800,0.16961767578125,-0.008857546374201775,-0.03672827407717705,0.01863138936460018
1696083226773618000,0.179617919921875,-0.024129176512360573,-0.08620835840702057,0.04612032696604729
1696083226783617800,0.18961767578125,-0.03878994286060333,-0.14301882684230804,0.06444628536701202
1696083226793618000,0.199617919921875,-0.052839845418930054,-0.19005544483661652,0.0656680166721344
1696083226803617800,0.20961767578125,-0.06200282275676727,-0.21754439175128937,0.05650503560900688
1696083226813618000,0.219617919921875,-0.06994406878948212,-0.21876612305641174,0.03573561832308769
1696083226823617800,0.22961767578125,-0.08704829961061478,-0.19921842217445374,0.014355333521962166
1696083226833618000,0.239617919921875,-0.10354165732860565,-0.15645785629749298,-0.012522737495601177
1696083226843617800,0.24961767578125,-0.1059851199388504,-0.12896892428398132,-0.027183502912521362
1696083226853618000,0.259617919921875,-0.10659598559141159,-0.07276932150125504,-0.05467243865132332
1696083226863617800,0.26961767578125,-0.1108720451593399,-0.028787024319171906,-0.08155050873756409
1696083226873618000,0.279617919921875,-0.11453723162412643,-0.006795875728130341,-0.10659598559141159
1696083226883617800,0.28961767578125,-0.11820242553949356,-0.00557414535433054,-0.12308934330940247
1696083226893618000,0.299617919921875,-0.1212567538022995,-0.023289237171411514,-0.13225232064723969
1696083226903617800,0.30961767578125,-0.1420261710882187,-0.049556441605091095,-0.13530665636062622
1696083226913618000,0.319617919921875,-0.1872301995754242,-0.08865182101726532,-0.10354165732860565
1696083226923617800,0.32961767578125,-0.23854288458824158,-0.08315403014421463,-0.058337632566690445
1696083226933618000,0.339617919921875,-0.32039880752563477,-0.8094727993011475,0.0009162978967651725
1696083226943617800,0.34961767578125,-0.328340083360672,-1.0880273580551147,0.061391957104206085
1696083226953618000,0.359617919921875,-0.33139440417289734,-1.6823992729187012,0.23671028017997742
