time,seconds_elapsed,z,y,x
1696082150003290400,0.046290283203125,9.033622741699219,3.224989652633667,0.047884032130241394
1696082150013273300,0.0562734375,9.153332710266113,3.2345664501190186,0.021547814831137657
1696082150023273200,0.066273193359375,9.392752647399902,3.3063924312591553,0.011971008032560349
1696082150033273300,0.0762734375,9.514857292175293,3.359065055847168,-0.031124621629714966
1696082150043273200,0.086273193359375,9.512462615966797,3.3207578659057617,0.10534487664699554
1696082150053273300,0.0962734375,9.435848236083984,3.268085241317749,0.17956513166427612
1696082150063273200,0.106273193359375,9.328108787536621,3.24414324760437,0.15083470940589905
1696082150073273300,0.1162734375,9.22755241394043,3.220201253890991,0.05027823522686958
1696082150083273200,0.126273193359375,9.105448722839355,3.2585084438323975,-0.023942016065120697
1696082150093273300,0.1362734375,9.016862869262695,3.268085241317749,-0.019153613597154617
1696082150103273200,0.146273193359375,9.04319953918457,3.2609026432037354,-0.031124621629714966
1696082150113273300,0.1562734375,9.093477249145508,3.265691041946411,-0.0071826050989329815
1696082150123273200,0.166273193359375,9.093477249145508,3.1962592601776123,0.0933738648891449
1696082150133273300,0.1762734375,9.064746856689453,3.1675288677215576,0.07182604819536209
1696082150143273200,0.186273193359375,8.980949401855469,3.1914708614349365,-0.0071826050989329815
1696082150153273300,0.1962734375,8.801384925842285,3.141192674636841,0.07182604819536209
1696082150163273200,0.206273193359375,8.753500938415527,3.1052796840667725,0.10773907601833344
1696082150173273300,0.2162734375,8.688857078552246,3.0813376903533936,0.019153613597154617
1696082150183273200,0.226273193359375,8.619425773620605,3.112462282180786,-0.08858546614646912
1696082150193273300,0.2362734375,8.636184692382812,3.1675288677215576,-0.19393034279346466
1696082150203273200,0.246273193359375,8.638579368591309,3.2106244564056396,-0.2585737705230713
1696082150213273300,0.2562734375,8.478167533874512,3.1459810733795166,-0.19153612852096558
1696082150223273200,0.266273193359375,8.633790969848633,2.8850131034851074,-0.090979665517807
1696082150233273300,0.2762734375,8.712799072265625,2.808398485183716,0.05746084079146385
1696082150243273200,0.286273193359375,8.77265453338623,2.889801502227783,0.12449848651885986
1696082150253273300,0.2962734375,8.834903717041016,2.8778305053710938,0.17717093229293823
1696082150263273200,0.306273193359375,8.724770545959473,2.868253707885742,0.30885201692581177
1696082150273273300,0.3162734375,8.320150375366211,2.964021682739258,-0.05027823522686958
1696082150283273200,0.326273193359375,7.905953407287598,2.7222073078155518,-0.15083470940589905
1696082150293273300,0.3362734375,8.063970565795898,2.585737943649292,-0.2849099934101105
1696082150303273200,0.346273193359375,8.391976356506348,2.6024973392486572,-0.4596867263317108
1696082150313273300,0.3562734375,8.640973091125488,2.6671407222747803,-0.5578489899635315
1696082150323273200,0.366273193359375,8.763077735900879,2.691082715988159,-0.4692635238170624
1696082150333273300,0.3762734375,8.748712539672852,2.6455929279327393,-0.44532153010368347
1696082150343273200,0.386273193359375,8.482955932617188,2.583343744277954,-0.4884171485900879
1696082150353273300,0.3962734375,7.984961986541748,2.5306711196899414,0.06224924325942993
1696082150363273200,0.406273193359375,7.72399377822876,2.4181437492370605,0.524330198764801
1696082150373273300,0.4162734375,7.522881031036377,2.4468741416931152,0.524330198764801
1696082150383273200,0.426273193359375,7.573159217834473,2.3989901542663574,0.40222588181495667
1696082150393273300,0.4362734375,7.5324578285217285,2.38462495803833,0.4620809257030487
1696082150403273200,0.446273193359375,8.066365242004395,2.408566951751709,0.5003881454467773
1696082150413273300,0.4562734375,8.327332496643066,2.389413356781006,1.1204863786697388
1696082150423273200,0.466273193359375,8.427888870239258,2.1739351749420166,1.5466543436050415
1696082150433273300,0.4762734375,8.181286811828613,2.0805611610412598,1.900996208190918
1696082150443273200,0.486273193359375,7.910741806030273,2.0183119773864746,2.3127987384796143
1696082150453273300,0.4962734375,7.702445983886719,2.0231003761291504,2.5713725090026855
1696082150463273200,0.506273193359375,7.46302604675293,2.1763293743133545,2.736572504043579
1696082150473273300,0.5162734375,7.214028835296631,2.343923568725586,3.002328872680664
1696082150483273200,0.526273193359375,7.041646480560303,2.6408045291900635,3.49314022064209
1696082150493273300,0.5362734375,6.9817914962768555,3.090914487838745,4.290409564971924
1696082150503273200,0.546273193359375,7.075165271759033,3.691859006881714,5.025728702545166
1696082150513273300,0.5562734375,7.419930458068848,4.316745758056641,5.152621269226074
1696082150523273200,0.566273193359375,7.63301420211792,4.685452938079834,4.795586109161377
1696082150533273300,0.5762734375,7.592312812805176,4.786009311676025,4.400542736053467
1696082150543273200,0.586273193359375,7.439084053039551,4.836287498474121,4.189853191375732
1696082150553273300,0.5962734375,7.257124423980713,4.922778129577637,4.182670593261719
1696082150563273200,0.606273193359375,6.924330711364746,4.903624534606934,4.467580318450928
1696082150573273300,0.6162734375,4.350264549255371,5.437531471252441,4.72376012802124
1696082150583273200,0.626273193359375,6.639420509338379,4.618414878845215,6.431125164031982
1696082150593273300,0.6362734375,4.977844715118408,3.864241600036621,6.754342079162598
1696082150603273200,0.646273193359375,6.955455303192139,3.1651346683502197,5.842151641845703
1696082150613273300,0.6562734375,6.632237911224365,2.940079689025879,6.213252544403076
1696082150623273200,0.666273193359375,6.3880295753479,3.136404275894165,6.7351884841918945
1696082150633273300,0.6762734375,6.258742332458496,2.762908697128296,7.029675483703613
1696082150643273200,0.686273193359375,5.724835395812988,1.8148049116134644,8.387187957763672
1696082150653273300,0.6962734375,4.951508522033691,1.1875240802764893,8.145373344421387
1696082150663273200,0.706273193359375,3.8355112075805664,0.9193734526634216,8.540416717529297
