time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1696081822247187500,0.0511875,-0.9496089816093445,-0.17725899815559387,0.0018240000354126096,0.2584890127182007,-0.09381192922592163,-0.3443622589111328,2.5937325954437256
1696081822257187600,0.0611875,-0.9484400153160095,-0.17671500146389008,0.001863999990746379,0.26311200857162476,-0.0951279029250145,-0.3428664207458496,2.583888530731201
1696081822267187500,0.0711875,-0.9472389817237854,-0.17619900405406952,0.0019470000406727195,0.2677449882030487,-0.09636783599853516,-0.34144365787506104,2.574021577835083
1696081822277187600,0.0811875,-0.9459940195083618,-0.17568999528884888,0.0020349998958408833,0.27243900299072266,-0.09761432558298111,-0.3400266170501709,2.5640125274658203
1696081822287187500,0.0911875,-0.9446550011634827,-0.17483200132846832,0.0016710000345483422,0.27758899331092834,-0.09968937188386917,-0.3376169800758362,2.5529732704162598
1696081822297187600,0.1011875,-0.9433090090751648,-0.17348699271678925,0.0013909999979659915,0.2829599976539612,-0.10132808983325958,-0.334281861782074,2.5416314601898193
1696081822307187500,0.1111875,-0.9419370293617249,-0.17178499698638916,0.0011340000201016665,0.28851601481437683,-0.10271006077528,-0.33024588227272034,2.5300068855285645
1696081822317187600,0.1211875,-0.9405050277709961,-0.16980500519275665,0.0007300000288523734,0.2943040132522583,-0.10422897338867188,-0.3255549371242523,2.5179221630096436
1696081822327187500,0.1311875,-0.9391430020332336,-0.16747699677944183,-0.00021399999968707561,0.2999350130558014,-0.10645699501037598,-0.3198680877685547,2.506139039993286
1696081822337187600,0.1411875,-0.937716007232666,-0.1651259958744049,-0.0017900000093504786,0.3056420087814331,-0.10986807197332382,-0.313708633184433,2.4940290451049805
1696081822347187500,0.1511875,-0.9362329840660095,-0.16285200417041779,-0.0034890000242739916,0.3113430142402649,-0.11349767446517944,-0.3075896203517914,2.481891393661499
1696081822357187600,0.1611875,-0.9346979856491089,-0.16076000034809113,-0.00508800009265542,0.31696799397468567,-0.11696619540452957,-0.30186209082603455,2.4698967933654785
1696081822367187500,0.1711875,-0.9330459833145142,-0.1590300053358078,-0.006568000186234713,0.32263100147247314,-0.1204180046916008,-0.29686787724494934,2.4577388763427734
1696081822377187600,0.1811875,-0.9313579797744751,-0.15758199989795685,-0.007590000052005053,0.3281469941139221,-0.1230912134051323,-0.2927112579345703,2.445922613143921
1696081822387187500,0.1911875,-0.9296169877052307,-0.15635399520397186,-0.008074999786913395,0.3336139917373657,-0.12483643740415573,-0.2893306612968445,2.434267044067383
1696081822397187600,0.2011875,-0.9279860258102417,-0.1552949994802475,-0.008186999708414078,0.33861100673675537,-0.12581351399421692,-0.28658562898635864,2.423663854598999
1696081822407187500,0.2111875,-0.9264259934425354,-0.15454599261283875,-0.008294000290334225,0.3431920111179352,-0.12687109410762787,-0.284479558467865,2.4138526916503906
1696081822417187600,0.2211875,-0.9248009920120239,-0.15401600301265717,-0.00853899959474802,0.3477739989757538,-0.12835147976875305,-0.2826786935329437,2.403916597366333
1696081822427187500,0.2311875,-0.9232239723205566,-0.15361300110816956,-0.00903400033712387,0.3521049916744232,-0.13032059371471405,-0.2809583842754364,2.3944218158721924
1696081822437187600,0.2411875,-0.9215750098228455,-0.15316900610923767,-0.009657000191509724,0.3565720021724701,-0.13252946734428406,-0.27903345227241516,2.384600877761841
1696081822447187500,0.2511875,-0.919884979724884,-0.15272299945354462,-0.01065600011497736,0.36107200384140015,-0.1354464441537857,-0.276801198720932,2.3746166229248047
1696081822457187600,0.2611875,-0.9181060194969177,-0.15250399708747864,-0.012275000102818012,0.3656109869480133,-0.13972154259681702,-0.27448779344558716,2.364315986633301
1696081822467187500,0.2711875,-0.9162030220031738,-0.15260100364685059,-0.014379000291228294,0.3702389895915985,-0.1451873779296875,-0.2723335027694702,2.353590250015259
1696081822477187600,0.2811875,-0.9142910242080688,-0.15315400063991547,-0.016995999962091446,0.37459999322891235,-0.15191243588924408,-0.27061203122138977,2.3431622982025146
1696081822487187500,0.2911875,-0.912335991859436,-0.15441299974918365,-0.020402999594807625,0.3786579966545105,-0.16063375771045685,-0.2695539593696594,2.332951307296753
1696081822497187600,0.3011875,-0.9103360176086426,-0.15657100081443787,-0.024880999699234962,0.3822999894618988,-0.1720307320356369,-0.26928308606147766,2.323052167892456
1696081822507187500,0.3111875,-0.9082800149917603,-0.1596270054578781,-0.030345000326633453,0.38551801443099976,-0.18596215546131134,-0.2698376476764679,2.313469648361206
1696081822517187600,0.3211875,-0.9060680270195007,-0.16350500285625458,-0.03677399829030037,0.38852599263191223,-0.2024087756872177,-0.27102380990982056,2.303722858428955
1696081822527187500,0.3311875,-0.9036740064620972,-0.16821500658988953,-0.04434899985790253,0.391292005777359,-0.22173470258712769,-0.27268296480178833,2.293792247772217
1696081822537187600,0.3411875,-0.9012069702148438,-0.1736149936914444,-0.05277099832892418,0.3935700058937073,-0.2432025820016861,-0.2748347818851471,2.2842938899993896
1696081822547187500,0.3511875,-0.898734986782074,-0.1797579973936081,-0.06195700168609619,0.3951219916343689,-0.26666367053985596,-0.277704119682312,2.275691509246826
1696081822557187600,0.3611875,-0.8963090181350708,-0.18651199340820312,-0.07157500088214874,0.39587700366973877,-0.2913811206817627,-0.2813730537891388,2.268218517303467
1696081822567187500,0.3711875,-0.8938850164413452,-0.19371099770069122,-0.0813319981098175,0.39601799845695496,-0.3167290687561035,-0.2857663929462433,2.2615644931793213
1696081822577187600,0.3811875,-0.8914399743080139,-0.20125700533390045,-0.09126999974250793,0.39559999108314514,-0.34272611141204834,-0.29068049788475037,2.2556076049804688
1696081822587187500,0.3911875,-0.8889340162277222,-0.20897500216960907,-0.10148800164461136,0.3947469890117645,-0.36943456530570984,-0.29569607973098755,2.2501306533813477
1696081822597187600,0.4011875,-0.8863400220870972,-0.21664899587631226,-0.11196500062942505,0.3936080038547516,-0.39664825797080994,-0.30040669441223145,2.24493670463562
1696081822607187500,0.4111875,-0.8836179971694946,-0.22410300374031067,-0.12259799987077713,0.39238399267196655,-0.42405420541763306,-0.30451643466949463,2.2397377490997314
1696081822617187600,0.4211875,-0.8808119893074036,-0.2310740053653717,-0.13309699296951294,0.39122700691223145,-0.45086610317230225,-0.30775851011276245,2.2344958782196045
1696081822627187500,0.4311875,-0.8778809905052185,-0.2375209927558899,-0.14324499666690826,0.3903689980506897,-0.47668567299842834,-0.3101416230201721,2.22883677482605
1696081822637187600,0.4411875,-0.8748810291290283,-0.24341599643230438,-0.15293799340724945,0.3897939920425415,-0.5012549757957458,-0.3117150068283081,2.2229020595550537
1696081822647187500,0.4511875,-0.8717749714851379,-0.24859300255775452,-0.1619970053434372,0.38982701301574707,-0.5241245031356812,-0.3121786415576935,2.216231107711792
1696081822657187600,0.4611875,-0.8683339953422546,-0.25309398770332336,-0.17048600316047668,0.3909890055656433,-0.5455880761146545,-0.3112238645553589,2.2077019214630127
1696081822667187500,0.4711875,-0.8645650148391724,-0.257207989692688,-0.17883099615573883,0.3929249942302704,-0.5666285157203674,-0.3091107904911041,2.1977922916412354
1696081822677187600,0.4811875,-0.8604289889335632,-0.2612000107765198,-0.18702299892902374,0.3955470025539398,-0.5874887704849243,-0.30630257725715637,2.1864752769470215
1696081822687187500,0.4911875,-0.8560529947280884,-0.2648549973964691,-0.19490399956703186,0.3987939953804016,-0.6075775623321533,-0.3026038408279419,2.1741538047790527
1696081822697187600,0.5011875,-0.8517230153083801,-0.2679629921913147,-0.2030639946460724,0.40190500020980835,-0.6274831891059875,-0.29760950803756714,2.162599563598633
1696081822707187500,0.5111875,-0.8469930291175842,-0.27127599716186523,-0.21292099356651306,0.40456900000572205,-0.6506621241569519,-0.29136011004447937,2.1514689922332764
1696081822717187600,0.5211875,-0.8410999774932861,-0.2759140133857727,-0.2263139933347702,0.4064509868621826,-0.6818594336509705,-0.28397271037101746,2.1399505138397217
1696081822727187500,0.5311875,-0.833968997001648,-0.2816619873046875,-0.2428389936685562,0.4076629877090454,-0.7201744318008423,-0.27526479959487915,2.1280555725097656
1696081822737187600,0.5411875,-0.8257349729537964,-0.28842100501060486,-0.2620280086994171,0.40781599283218384,-0.7646338939666748,-0.26571598649024963,2.116732120513916
1696081822747187500,0.5511875,-0.8164129853248596,-0.2961679995059967,-0.2834709882736206,0.4066910147666931,-0.8145641088485718,-0.25580117106437683,2.1064229011535645
1696081822757187600,0.5611875,-0.8063439726829529,-0.30454298853874207,-0.30572399497032166,0.40446698665618896,-0.867017924785614,-0.24630513787269592,2.097263813018799
1696081822767187500,0.5711875,-0.7957000136375427,-0.3133060038089752,-0.32826000452041626,0.4011789858341217,-0.9208446145057678,-0.2374378740787506,2.089431047439575
1696081822777187600,0.5811875,-0.7860090136528015,-0.3212679922580719,-0.3462330102920532,0.39886999130249023,-0.9656094312667847,-0.23088093101978302,2.0809764862060547
1696081822787187500,0.5911875,-0.7760810256004333,-0.3289879858493805,-0.3623400032520294,0.39771100878715515,-1.0070704221725464,-0.22430561482906342,2.0705268383026123
1696081822797187600,0.6011875,-0.7656059861183167,-0.3367530107498169,-0.3775149881839752,0.39739900827407837,-1.0472941398620605,-0.21729813516139984,2.058224678039551
